Generacion	x1	x2	Fitness_Padre	Sigma_Usado
0	-0.94483478	1.44121503	9.72170736	3.00000000
1	-0.09500160	-0.16476257	-0.05405593	3.00000000
2	-0.09500160	-0.16476257	-0.05405593	3.00000000
3	-0.09500160	-0.16476257	-0.05405593	3.00000000
4	-0.09500160	-0.16476257	-0.05405593	3.00000000
5	-0.09500160	-0.16476257	-0.05405593	3.00000000
6	-0.09500160	-0.16476257	-0.05405593	3.00000000
7	-0.09500160	-0.16476257	-0.05405593	3.00000000
8	-0.09500160	-0.16476257	-0.05405593	3.00000000
9	-0.09500160	-0.16476257	-0.05405593	3.00000000
10	-0.09500160	-0.16476257	-0.05405593	3.00000000
11	-0.09500160	-0.16476257	-0.05405593	3.00000000
12	-0.09500160	-0.16476257	-0.05405593	3.00000000
13	-0.09500160	-0.16476257	-0.05405593	3.00000000
14	-0.09500160	-0.16476257	-0.05405593	3.00000000
15	-0.09500160	-0.16476257	-0.05405593	3.00000000
16	-0.09500160	-0.16476257	-0.05405593	3.00000000
17	-0.09500160	-0.16476257	-0.05405593	3.00000000
18	-0.09500160	-0.16476257	-0.05405593	3.00000000
19	-0.09500160	-0.16476257	-0.05405593	3.00000000
20	-0.09500160	-0.16476257	-0.05405593	3.00000000
21	-0.09500160	-0.16476257	-0.05405593	3.00000000
22	-0.09500160	-0.16476257	-0.05405593	2.70000000
23	-0.09500160	-0.16476257	-0.05405593	2.70000000
24	-0.09500160	-0.16476257	-0.05405593	2.43000000
25	-0.09500160	-0.16476257	-0.05405593	2.43000000
26	-0.09500160	-0.16476257	-0.05405593	2.18700000
27	-0.09500160	-0.16476257	-0.05405593	2.18700000
28	0.16726349	0.47422219	-0.50765871	1.96830000
29	0.16726349	0.47422219	-0.50765871	1.96830000
30	0.16726349	0.47422219	-0.50765871	1.77147000
31	0.16726349	0.47422219	-0.50765871	1.77147000
32	0.16726349	0.47422219	-0.50765871	1.59432300
33	0.16726349	0.47422219	-0.50765871	1.59432300
34	0.16726349	0.47422219	-0.50765871	1.43489070
35	0.16726349	0.47422219	-0.50765871	1.43489070
36	0.16726349	0.47422219	-0.50765871	1.29140163
37	0.16726349	0.47422219	-0.50765871	1.29140163
38	0.16726349	0.47422219	-0.50765871	1.16226147
39	0.16726349	0.47422219	-0.50765871	1.16226147
40	0.16726349	0.47422219	-0.50765871	1.04603532
41	0.16726349	0.47422219	-0.50765871	1.04603532
42	-0.03503442	0.76688519	-0.99090537	0.94143179
43	-0.03503442	0.76688519	-0.99090537	0.94143179
44	-0.03503442	0.76688519	-0.99090537	0.84728861
45	-0.03503442	0.76688519	-0.99090537	0.84728861
46	-0.03503442	0.76688519	-0.99090537	0.76255975
47	-0.03503442	0.76688519	-0.99090537	0.76255975
48	-0.03503442	0.76688519	-0.99090537	0.68630377
49	-0.03503442	0.76688519	-0.99090537	0.68630377
50	-0.03503442	0.76688519	-0.99090537	0.61767340
51	-0.03503442	0.76688519	-0.99090537	0.61767340
52	-0.03503442	0.76688519	-0.99090537	0.55590606
53	-0.03503442	0.76688519	-0.99090537	0.55590606
54	-0.03503442	0.76688519	-0.99090537	0.50031545
55	-0.03503442	0.76688519	-0.99090537	0.50031545
56	-0.03503442	0.76688519	-0.99090537	0.45028391
57	-0.03503442	0.76688519	-0.99090537	0.45028391
58	-0.03503442	0.76688519	-0.99090537	0.40525552
59	-0.03503442	0.76688519	-0.99090537	0.40525552
60	-0.03503442	0.76688519	-0.99090537	0.36472996
61	-0.03503442	0.76688519	-0.99090537	0.36472996
62	-0.03503442	0.76688519	-0.99090537	0.32825697
63	-0.03503442	0.76688519	-0.99090537	0.32825697
64	-0.03503442	0.76688519	-0.99090537	0.29543127
65	-0.03503442	0.76688519	-0.99090537	0.29543127
66	-0.03503442	0.76688519	-0.99090537	0.26588814
67	-0.03503442	0.76688519	-0.99090537	0.26588814
68	-0.03503442	0.76688519	-0.99090537	0.23929933
69	-0.03503442	0.76688519	-0.99090537	0.23929933
70	-0.03503442	0.76688519	-0.99090537	0.21536940
71	-0.03503442	0.76688519	-0.99090537	0.21536940
72	-0.03503442	0.76688519	-0.99090537	0.19383246
73	-0.03503442	0.76688519	-0.99090537	0.19383246
74	-0.03503442	0.76688519	-0.99090537	0.17444921
75	-0.03503442	0.76688519	-0.99090537	0.17444921
76	-0.03503442	0.76688519	-0.99090537	0.15700429
77	-0.03503442	0.76688519	-0.99090537	0.15700429
78	-0.03503442	0.76688519	-0.99090537	0.14130386
79	-0.03503442	0.76688519	-0.99090537	0.14130386
80	-0.03503442	0.76688519	-0.99090537	0.12717347
81	-0.03503442	0.76688519	-0.99090537	0.12717347
82	-0.03503442	0.76688519	-0.99090537	0.11445613
83	-0.03503442	0.76688519	-0.99090537	0.11445613
84	-0.03503442	0.76688519	-0.99090537	0.10301051
85	-0.14617798	0.71898095	-1.01943578	0.10301051
86	-0.14617798	0.71898095	-1.01943578	0.09270946
87	-0.14617798	0.71898095	-1.01943578	0.09270946
88	-0.14617798	0.71898095	-1.01943578	0.08343852
89	-0.14617798	0.71898095	-1.01943578	0.08343852
90	-0.14617798	0.71898095	-1.01943578	0.07509467
91	-0.14617798	0.71898095	-1.01943578	0.07509467
92	-0.11409624	0.74544259	-1.02093241	0.06758520
93	-0.11409624	0.74544259	-1.02093241	0.06758520
94	-0.11409624	0.74544259	-1.02093241	0.06082668
95	-0.11409624	0.74544259	-1.02093241	0.06082668
96	-0.11409624	0.74544259	-1.02093241	0.05474401
97	-0.11409624	0.74544259	-1.02093241	0.05474401
98	-0.11409624	0.74544259	-1.02093241	0.04926961
99	-0.11409624	0.74544259	-1.02093241	0.04926961
100	-0.09208757	0.69680132	-1.02955979	0.04434265
101	-0.09208757	0.69680132	-1.02955979	0.04434265
102	-0.09208757	0.69680132	-1.02955979	0.03990838
103	-0.09208757	0.69680132	-1.02955979	0.03990838
104	-0.09208757	0.69680132	-1.02955979	0.03591755
105	-0.09208757	0.69680132	-1.02955979	0.03591755
106	-0.09208757	0.69680132	-1.02955979	0.03232579
107	-0.09208757	0.69680132	-1.02955979	0.03232579
108	-0.09702417	0.72539072	-1.03016747	0.02909321
109	-0.09702417	0.72539072	-1.03016747	0.02909321
110	-0.09702417	0.72539072	-1.03016747	0.02618389
111	-0.09702417	0.72539072	-1.03016747	0.02618389
112	-0.09702417	0.72539072	-1.03016747	0.02356550
113	-0.07281581	0.71316457	-1.03048398	0.02356550
114	-0.09344769	0.70622056	-1.03121844	0.02120895
115	-0.08376443	0.71202039	-1.03148484	0.02120895
116	-0.08376443	0.71202039	-1.03148484	0.01908806
117	-0.08376443	0.71202039	-1.03148484	0.01908806
118	-0.08376443	0.71202039	-1.03148484	0.01717925
119	-0.08376443	0.71202039	-1.03148484	0.01717925
120	-0.08376443	0.71202039	-1.03148484	0.01546133
121	-0.08376443	0.71202039	-1.03148484	0.01546133
122	-0.08376443	0.71202039	-1.03148484	0.01546133
123	-0.08376443	0.71202039	-1.03148484	0.01546133
124	-0.08376443	0.71202039	-1.03148484	0.01546133
125	-0.08376443	0.71202039	-1.03148484	0.01546133
126	-0.08376443	0.71202039	-1.03148484	0.01546133
127	-0.08376443	0.71202039	-1.03148484	0.01546133
128	-0.08376443	0.71202039	-1.03148484	0.01546133
129	-0.08376443	0.71202039	-1.03148484	0.01546133
130	-0.08376443	0.71202039	-1.03148484	0.01546133
131	-0.08376443	0.71202039	-1.03148484	0.01546133
132	-0.08376443	0.71202039	-1.03148484	0.01546133
133	-0.08376443	0.71202039	-1.03148484	0.01546133
134	-0.08376443	0.71202039	-1.03148484	0.01546133
135	-0.08376443	0.71202039	-1.03148484	0.01546133
136	-0.08376443	0.71202039	-1.03148484	0.01546133
137	-0.08376443	0.71202039	-1.03148484	0.01546133
138	-0.08376443	0.71202039	-1.03148484	0.01546133
139	-0.08376443	0.71202039	-1.03148484	0.01546133
140	-0.08376443	0.71202039	-1.03148484	0.01546133
141	-0.08376443	0.71202039	-1.03148484	0.01546133
142	-0.08376443	0.71202039	-1.03148484	0.01391519
143	-0.08376443	0.71202039	-1.03148484	0.01391519
144	-0.08376443	0.71202039	-1.03148484	0.01252367
145	-0.08376443	0.71202039	-1.03148484	0.01252367
146	-0.08376443	0.71202039	-1.03148484	0.01127131
147	-0.08376443	0.71202039	-1.03148484	0.01127131
148	-0.09232807	0.71611935	-1.03151430	0.01014418
149	-0.09232807	0.71611935	-1.03151430	0.01014418
150	-0.09232807	0.71611935	-1.03151430	0.00912976
151	-0.09232807	0.71611935	-1.03151430	0.00912976
152	-0.09232807	0.71611935	-1.03151430	0.00821678
153	-0.09232807	0.71611935	-1.03151430	0.00821678
154	-0.09232807	0.71611935	-1.03151430	0.00739510
155	-0.09237569	0.71149243	-1.03158941	0.00739510
156	-0.09237569	0.71149243	-1.03158941	0.00665559
157	-0.09237569	0.71149243	-1.03158941	0.00665559
158	-0.09237569	0.71149243	-1.03158941	0.00599003
159	-0.09237569	0.71149243	-1.03158941	0.00599003
160	-0.09237569	0.71149243	-1.03158941	0.00539103
161	-0.09237569	0.71149243	-1.03158941	0.00539103
162	-0.09237569	0.71149243	-1.03158941	0.00485193
163	-0.09237569	0.71149243	-1.03158941	0.00485193
164	-0.09237569	0.71149243	-1.03158941	0.00436674
165	-0.09237569	0.71149243	-1.03158941	0.00436674
166	-0.09237569	0.71149243	-1.03158941	0.00393006
167	-0.09237569	0.71149243	-1.03158941	0.00393006
168	-0.09093472	0.71434718	-1.03160218	0.00353706
169	-0.09093472	0.71434718	-1.03160218	0.00353706
170	-0.09093472	0.71434718	-1.03160218	0.00318335
171	-0.08816159	0.71324195	-1.03161365	0.00318335
172	-0.08816159	0.71324195	-1.03161365	0.00286501
173	-0.08816159	0.71324195	-1.03161365	0.00286501
174	-0.08816159	0.71324195	-1.03161365	0.00257851
175	-0.08816159	0.71324195	-1.03161365	0.00257851
176	-0.08816159	0.71324195	-1.03161365	0.00232066
177	-0.08816159	0.71324195	-1.03161365	0.00232066
178	-0.09141999	0.71289828	-1.03161865	0.00208860
179	-0.09141999	0.71289828	-1.03161865	0.00208860
180	-0.09141999	0.71289828	-1.03161865	0.00187974
181	-0.09141999	0.71289828	-1.03161865	0.00187974
182	-0.09141999	0.71289828	-1.03161865	0.00169176
183	-0.09141999	0.71289828	-1.03161865	0.00169176
184	-0.09141999	0.71289828	-1.03161865	0.00152259
185	-0.09141999	0.71289828	-1.03161865	0.00152259
186	-0.09141999	0.71289828	-1.03161865	0.00137033
187	-0.08982999	0.71177784	-1.03162215	0.00137033
188	-0.08982999	0.71177784	-1.03162215	0.00123329
189	-0.08982999	0.71177784	-1.03162215	0.00123329
190	-0.08982999	0.71177784	-1.03162215	0.00110997
191	-0.08982999	0.71177784	-1.03162215	0.00110997
192	-0.08982999	0.71177784	-1.03162215	0.00099897
193	-0.08982999	0.71177784	-1.03162215	0.00099897
194	-0.08886442	0.71273707	-1.03162459	0.00089907
195	-0.08886442	0.71273707	-1.03162459	0.00089907
196	-0.08935411	0.71310145	-1.03162569	0.00080916
197	-0.08948920	0.71254525	-1.03162791	0.00080916
198	-0.08948920	0.71254525	-1.03162791	0.00072825
199	-0.08948920	0.71254525	-1.03162791	0.00072825
200	-0.08948920	0.71254525	-1.03162791	0.00065542

--- ESTADISTICAS DE ESTA CORRIDA ---
Mejor f(x) (padre) encontrado en la corrida: -1.03162791
Peor f(x) (evaluado) encontrado en la corrida: 162.90000000
Fitness final del padre: -1.03162791
Solucion final: x1=-0.08948920, x2=0.71254525
Media de f(x) del padre a lo largo de las generaciones: -0.80059780
Varianza de f(x) del padre a lo largo de las generaciones: 0.66977738
Desviacion Estandar de f(x) del padre a lo largo de las generaciones: 0.81839928
-----------------------------------
