Generacion	x1	x2	Fitness_Padre	Sigma_Usado
0	-0.94676007	-0.13098223	2.19479003	3.00000000
1	-0.94676007	-0.13098223	2.19479003	3.00000000
2	-0.94676007	-0.13098223	2.19479003	3.00000000
3	-0.70648667	-0.85901246	1.34805185	3.00000000
4	-0.70648667	-0.85901246	1.34805185	3.00000000
5	-0.70648667	-0.85901246	1.34805185	3.00000000
6	-0.70648667	-0.85901246	1.34805185	3.00000000
7	-0.70648667	-0.85901246	1.34805185	3.00000000
8	-0.70648667	-0.85901246	1.34805185	3.00000000
9	-0.70648667	-0.85901246	1.34805185	3.00000000
10	-0.70648667	-0.85901246	1.34805185	3.00000000
11	-0.70648667	-0.85901246	1.34805185	3.00000000
12	-0.70648667	-0.85901246	1.34805185	3.00000000
13	-0.70648667	-0.85901246	1.34805185	3.00000000
14	-0.70648667	-0.85901246	1.34805185	3.00000000
15	-0.70648667	-0.85901246	1.34805185	3.00000000
16	-0.70648667	-0.85901246	1.34805185	3.00000000
17	-0.70648667	-0.85901246	1.34805185	3.00000000
18	-0.70648667	-0.85901246	1.34805185	3.00000000
19	-0.70648667	-0.85901246	1.34805185	3.00000000
20	-0.70648667	-0.85901246	1.34805185	3.00000000
21	-0.70648667	-0.85901246	1.34805185	3.00000000
22	-0.70648667	-0.85901246	1.34805185	2.70000000
23	-0.70648667	-0.85901246	1.34805185	2.70000000
24	-0.70648667	-0.85901246	1.34805185	2.43000000
25	-0.70648667	-0.85901246	1.34805185	2.43000000
26	-0.70648667	-0.85901246	1.34805185	2.18700000
27	-0.70648667	-0.85901246	1.34805185	2.18700000
28	-0.70648667	-0.85901246	1.34805185	1.96830000
29	-0.70648667	-0.85901246	1.34805185	1.96830000
30	-0.70648667	-0.85901246	1.34805185	1.77147000
31	-0.70648667	-0.85901246	1.34805185	1.77147000
32	0.08379565	0.20152338	-0.11097925	1.59432300
33	0.08379565	0.20152338	-0.11097925	1.59432300
34	-0.36561447	0.42754882	-0.25588193	1.43489070
35	-0.36561447	0.42754882	-0.25588193	1.43489070
36	-0.36561447	0.42754882	-0.25588193	1.29140163
37	-0.36561447	0.42754882	-0.25588193	1.29140163
38	-0.36561447	0.42754882	-0.25588193	1.16226147
39	-0.36561447	0.42754882	-0.25588193	1.16226147
40	-0.36561447	0.42754882	-0.25588193	1.04603532
41	-0.53503004	0.73057038	-0.40555851	1.04603532
42	-0.53503004	0.73057038	-0.40555851	0.94143179
43	-0.53503004	0.73057038	-0.40555851	0.94143179
44	-0.53503004	0.73057038	-0.40555851	0.84728861
45	-0.53503004	0.73057038	-0.40555851	0.84728861
46	-0.08770229	0.50301378	-0.76948196	0.76255975
47	-0.22527877	0.69279958	-0.95683155	0.76255975
48	-0.22527877	0.69279958	-0.95683155	0.68630377
49	-0.22527877	0.69279958	-0.95683155	0.68630377
50	-0.17316187	0.72647469	-1.00465303	0.61767340
51	-0.17316187	0.72647469	-1.00465303	0.61767340
52	-0.17316187	0.72647469	-1.00465303	0.55590606
53	-0.17316187	0.72647469	-1.00465303	0.55590606
54	-0.17316187	0.72647469	-1.00465303	0.50031545
55	-0.17316187	0.72647469	-1.00465303	0.50031545
56	-0.17316187	0.72647469	-1.00465303	0.45028391
57	-0.17316187	0.72647469	-1.00465303	0.45028391
58	-0.17316187	0.72647469	-1.00465303	0.40525552
59	-0.17316187	0.72647469	-1.00465303	0.40525552
60	-0.17316187	0.72647469	-1.00465303	0.36472996
61	-0.17316187	0.72647469	-1.00465303	0.36472996
62	-0.17316187	0.72647469	-1.00465303	0.36472996
63	-0.17316187	0.72647469	-1.00465303	0.36472996
64	-0.17316187	0.72647469	-1.00465303	0.36472996
65	-0.17316187	0.72647469	-1.00465303	0.36472996
66	-0.17316187	0.72647469	-1.00465303	0.36472996
67	-0.17316187	0.72647469	-1.00465303	0.36472996
68	-0.17316187	0.72647469	-1.00465303	0.36472996
69	-0.17316187	0.72647469	-1.00465303	0.36472996
70	-0.17316187	0.72647469	-1.00465303	0.36472996
71	-0.17316187	0.72647469	-1.00465303	0.36472996
72	-0.17316187	0.72647469	-1.00465303	0.36472996
73	-0.17316187	0.72647469	-1.00465303	0.36472996
74	-0.17316187	0.72647469	-1.00465303	0.36472996
75	-0.17316187	0.72647469	-1.00465303	0.36472996
76	-0.17316187	0.72647469	-1.00465303	0.36472996
77	-0.17316187	0.72647469	-1.00465303	0.36472996
78	-0.17316187	0.72647469	-1.00465303	0.36472996
79	-0.17316187	0.72647469	-1.00465303	0.36472996
80	-0.17316187	0.72647469	-1.00465303	0.36472996
81	-0.17316187	0.72647469	-1.00465303	0.36472996
82	-0.17316187	0.72647469	-1.00465303	0.32825697
83	-0.17316187	0.72647469	-1.00465303	0.32825697
84	-0.17316187	0.72647469	-1.00465303	0.29543127
85	-0.17316187	0.72647469	-1.00465303	0.29543127
86	-0.17316187	0.72647469	-1.00465303	0.26588814
87	-0.17316187	0.72647469	-1.00465303	0.26588814
88	-0.12177621	0.71575093	-1.02769928	0.23929933
89	-0.12177621	0.71575093	-1.02769928	0.23929933
90	-0.12177621	0.71575093	-1.02769928	0.21536940
91	-0.12177621	0.71575093	-1.02769928	0.21536940
92	-0.12177621	0.71575093	-1.02769928	0.19383246
93	-0.12177621	0.71575093	-1.02769928	0.19383246
94	-0.12177621	0.71575093	-1.02769928	0.17444921
95	-0.12177621	0.71575093	-1.02769928	0.17444921
96	-0.12177621	0.71575093	-1.02769928	0.15700429
97	-0.12177621	0.71575093	-1.02769928	0.15700429
98	-0.12177621	0.71575093	-1.02769928	0.14130386
99	-0.12177621	0.71575093	-1.02769928	0.14130386
100	-0.12177621	0.71575093	-1.02769928	0.12717347
101	-0.12177621	0.71575093	-1.02769928	0.12717347
102	-0.12177621	0.71575093	-1.02769928	0.11445613
103	-0.12177621	0.71575093	-1.02769928	0.11445613
104	-0.12177621	0.71575093	-1.02769928	0.10301051
105	-0.12177621	0.71575093	-1.02769928	0.10301051
106	-0.12177621	0.71575093	-1.02769928	0.09270946
107	-0.12177621	0.71575093	-1.02769928	0.09270946
108	-0.12177621	0.71575093	-1.02769928	0.08343852
109	-0.12177621	0.71575093	-1.02769928	0.08343852
110	-0.12177621	0.71575093	-1.02769928	0.07509467
111	-0.12177621	0.71575093	-1.02769928	0.07509467
112	-0.12177621	0.71575093	-1.02769928	0.06758520
113	-0.07129471	0.69500617	-1.02812130	0.06758520
114	-0.07129471	0.69500617	-1.02812130	0.06082668
115	-0.07129471	0.69500617	-1.02812130	0.06082668
116	-0.07129471	0.69500617	-1.02812130	0.05474401
117	-0.07129471	0.69500617	-1.02812130	0.05474401
118	-0.07129471	0.69500617	-1.02812130	0.04926961
119	-0.07129471	0.69500617	-1.02812130	0.04926961
120	-0.07129471	0.69500617	-1.02812130	0.04434265
121	-0.07129471	0.69500617	-1.02812130	0.04434265
122	-0.07129471	0.69500617	-1.02812130	0.03990838
123	-0.07129471	0.69500617	-1.02812130	0.03990838
124	-0.07129471	0.69500617	-1.02812130	0.03591755
125	-0.07129471	0.69500617	-1.02812130	0.03591755
126	-0.07129471	0.69500617	-1.02812130	0.03232579
127	-0.09014763	0.70497190	-1.03114732	0.03232579
128	-0.09014763	0.70497190	-1.03114732	0.02909321
129	-0.09014763	0.70497190	-1.03114732	0.02909321
130	-0.09014763	0.70497190	-1.03114732	0.02618389
131	-0.09014763	0.70497190	-1.03114732	0.02618389
132	-0.09014763	0.70497190	-1.03114732	0.02356550
133	-0.09014763	0.70497190	-1.03114732	0.02356550
134	-0.09773533	0.71076466	-1.03134177	0.02120895
135	-0.09773533	0.71076466	-1.03134177	0.02120895
136	-0.09773533	0.71076466	-1.03134177	0.01908806
137	-0.09773533	0.71076466	-1.03134177	0.01908806
138	-0.09773533	0.71076466	-1.03134177	0.01717925
139	-0.09773533	0.71076466	-1.03134177	0.01717925
140	-0.09773533	0.71076466	-1.03134177	0.01546133
141	-0.09773533	0.71076466	-1.03134177	0.01546133
142	-0.08529179	0.71186213	-1.03154612	0.01391519
143	-0.08529179	0.71186213	-1.03154612	0.01391519
144	-0.08529179	0.71186213	-1.03154612	0.01252367
145	-0.08529179	0.71186213	-1.03154612	0.01252367
146	-0.08529179	0.71186213	-1.03154612	0.01127131
147	-0.08529179	0.71186213	-1.03154612	0.01127131
148	-0.08529179	0.71186213	-1.03154612	0.01014418
149	-0.08529179	0.71186213	-1.03154612	0.01014418
150	-0.08928179	0.71380531	-1.03161576	0.00912976
151	-0.08928179	0.71380531	-1.03161576	0.00912976
152	-0.08928179	0.71380531	-1.03161576	0.00821678
153	-0.08928179	0.71380531	-1.03161576	0.00821678
154	-0.08928179	0.71380531	-1.03161576	0.00739510
155	-0.08928179	0.71380531	-1.03161576	0.00739510
156	-0.08928179	0.71380531	-1.03161576	0.00665559
157	-0.08928179	0.71380531	-1.03161576	0.00665559
158	-0.08928179	0.71380531	-1.03161576	0.00599003
159	-0.08928179	0.71380531	-1.03161576	0.00599003
160	-0.08928179	0.71380531	-1.03161576	0.00539103
161	-0.08928179	0.71380531	-1.03161576	0.00539103
162	-0.08928179	0.71380531	-1.03161576	0.00485193
163	-0.08928179	0.71380531	-1.03161576	0.00485193
164	-0.08928179	0.71380531	-1.03161576	0.00436674
165	-0.08928179	0.71380531	-1.03161576	0.00436674
166	-0.08857566	0.71339055	-1.03161685	0.00393006
167	-0.08857566	0.71339055	-1.03161685	0.00393006
168	-0.08857566	0.71339055	-1.03161685	0.00353706
169	-0.08857566	0.71339055	-1.03161685	0.00353706
170	-0.08857566	0.71339055	-1.03161685	0.00318335
171	-0.08857566	0.71339055	-1.03161685	0.00318335
172	-0.08857566	0.71339055	-1.03161685	0.00286501
173	-0.08857566	0.71339055	-1.03161685	0.00286501
174	-0.08857566	0.71339055	-1.03161685	0.00257851
175	-0.08857566	0.71339055	-1.03161685	0.00257851
176	-0.08861779	0.71303294	-1.03162099	0.00232066
177	-0.08861779	0.71303294	-1.03162099	0.00232066
178	-0.08861779	0.71303294	-1.03162099	0.00208860
179	-0.08861779	0.71303294	-1.03162099	0.00208860
180	-0.08861779	0.71303294	-1.03162099	0.00187974
181	-0.08861779	0.71303294	-1.03162099	0.00187974
182	-0.08861779	0.71303294	-1.03162099	0.00169176
183	-0.08861779	0.71303294	-1.03162099	0.00169176
184	-0.08861779	0.71303294	-1.03162099	0.00152259
185	-0.08861779	0.71303294	-1.03162099	0.00152259
186	-0.08925915	0.71202197	-1.03162421	0.00137033
187	-0.08925915	0.71202197	-1.03162421	0.00137033
188	-0.08996361	0.71337000	-1.03162431	0.00123329
189	-0.08996361	0.71337000	-1.03162431	0.00123329
190	-0.08996361	0.71337000	-1.03162431	0.00110997
191	-0.08996361	0.71337000	-1.03162431	0.00110997
192	-0.08996361	0.71337000	-1.03162431	0.00099897
193	-0.08996361	0.71337000	-1.03162431	0.00099897
194	-0.08950147	0.71306788	-1.03162647	0.00089907
