Generacion	x1	x2	Fitness_Padre	Sigma_Usado
0	-0.95915704	0.96511349	0.98098569	3.00000000
1	-0.95915704	0.96511349	0.98098569	3.00000000
2	-0.95915704	0.96511349	0.98098569	3.00000000
3	-0.95915704	0.96511349	0.98098569	3.00000000
4	-0.95915704	0.96511349	0.98098569	3.00000000
5	-0.95915704	0.96511349	0.98098569	3.00000000
6	-0.95915704	0.96511349	0.98098569	3.00000000
7	-0.95915704	0.96511349	0.98098569	3.00000000
8	-0.95915704	0.96511349	0.98098569	3.00000000
9	-0.95915704	0.96511349	0.98098569	3.00000000
10	-0.02113998	-0.30330729	-0.32592962	3.00000000
11	-0.02113998	-0.30330729	-0.32592962	3.00000000
12	-0.02113998	-0.30330729	-0.32592962	3.00000000
13	-0.02113998	-0.30330729	-0.32592962	3.00000000
14	-0.02113998	-0.30330729	-0.32592962	3.00000000
15	-0.02113998	-0.30330729	-0.32592962	3.00000000
16	-0.02113998	-0.30330729	-0.32592962	3.00000000
17	-0.02113998	-0.30330729	-0.32592962	3.00000000
18	-0.02113998	-0.30330729	-0.32592962	3.00000000
19	-0.02113998	-0.30330729	-0.32592962	3.00000000
20	-0.02113998	-0.30330729	-0.32592962	3.00000000
21	-0.02113998	-0.30330729	-0.32592962	3.00000000
22	-0.02113998	-0.30330729	-0.32592962	2.70000000
23	-0.02113998	-0.30330729	-0.32592962	2.70000000
24	-0.02113998	-0.30330729	-0.32592962	2.43000000
25	-0.02113998	-0.30330729	-0.32592962	2.43000000
26	-0.02113998	-0.30330729	-0.32592962	2.18700000
27	-0.02113998	-0.30330729	-0.32592962	2.18700000
28	-0.02113998	-0.30330729	-0.32592962	1.96830000
29	-0.02113998	-0.30330729	-0.32592962	1.96830000
30	-0.02113998	-0.30330729	-0.32592962	1.77147000
31	-0.02113998	-0.30330729	-0.32592962	1.77147000
32	-0.02113998	-0.30330729	-0.32592962	1.59432300
33	-0.02113998	-0.30330729	-0.32592962	1.59432300
34	-0.02113998	-0.30330729	-0.32592962	1.43489070
35	-0.02113998	-0.30330729	-0.32592962	1.43489070
36	-0.02113998	-0.30330729	-0.32592962	1.29140163
37	-0.02113998	-0.30330729	-0.32592962	1.29140163
38	-0.02113998	-0.30330729	-0.32592962	1.16226147
39	-0.02113998	-0.30330729	-0.32592962	1.16226147
40	-0.02113998	-0.30330729	-0.32592962	1.04603532
41	-0.02113998	-0.30330729	-0.32592962	1.04603532
42	-0.02113998	-0.30330729	-0.32592962	0.94143179
43	-0.13251168	-0.36141204	-0.33674671	0.94143179
44	-0.13251168	-0.36141204	-0.33674671	0.84728861
45	-0.13251168	-0.36141204	-0.33674671	0.84728861
46	-0.13251168	-0.36141204	-0.33674671	0.76255975
47	-0.13251168	-0.36141204	-0.33674671	0.76255975
48	-0.13251168	-0.36141204	-0.33674671	0.68630377
49	-0.13251168	-0.36141204	-0.33674671	0.68630377
50	-0.13251168	-0.36141204	-0.33674671	0.61767340
51	0.19709201	-0.37655255	-0.40873134	0.61767340
52	0.19709201	-0.37655255	-0.40873134	0.55590606
53	0.19709201	-0.37655255	-0.40873134	0.55590606
54	0.19709201	-0.37655255	-0.40873134	0.50031545
55	-0.05488882	-0.47234735	-0.65537353	0.50031545
56	-0.12136119	-0.84435125	-0.65771377	0.45028391
57	0.16280065	-0.51167172	-0.75181143	0.45028391
58	0.16280065	-0.51167172	-0.75181143	0.40525552
59	0.16280065	-0.51167172	-0.75181143	0.40525552
