Generacion	x1	x2	Fitness_Padre	Sigma_Usado
0	-0.95211331	-0.11221362	2.20577114	3.00000000
1	-0.95211331	-0.11221362	2.20577114	3.00000000
2	-0.95211331	-0.11221362	2.20577114	3.00000000
3	-0.95211331	-0.11221362	2.20577114	3.00000000
4	-0.95211331	-0.11221362	2.20577114	3.00000000
5	-0.95211331	-0.11221362	2.20577114	3.00000000
6	-0.95211331	-0.11221362	2.20577114	3.00000000
7	-0.95211331	-0.11221362	2.20577114	3.00000000
8	-0.95211331	-0.11221362	2.20577114	3.00000000
9	-0.95211331	-0.11221362	2.20577114	3.00000000
10	-0.95211331	-0.11221362	2.20577114	3.00000000
11	-0.95211331	-0.11221362	2.20577114	3.00000000
12	-0.95211331	-0.11221362	2.20577114	3.00000000
13	-0.95211331	-0.11221362	2.20577114	3.00000000
14	-0.95211331	-0.11221362	2.20577114	3.00000000
15	-0.95211331	-0.11221362	2.20577114	3.00000000
16	-0.95211331	-0.11221362	2.20577114	3.00000000
17	-0.95211331	-0.11221362	2.20577114	3.00000000
18	-0.95211331	-0.11221362	2.20577114	3.00000000
19	-0.95211331	-0.11221362	2.20577114	3.00000000
20	-0.95211331	-0.11221362	2.20577114	3.00000000
21	-0.95211331	-0.11221362	2.20577114	3.00000000
22	-0.95211331	-0.11221362	2.20577114	2.70000000
23	1.59147342	-0.02316010	2.03657509	2.70000000
24	1.59147342	-0.02316010	2.03657509	2.43000000
25	0.29193988	0.65174643	-0.46122545	2.43000000
26	0.29193988	0.65174643	-0.46122545	2.18700000
27	0.16658888	-0.81568227	-0.91714036	2.18700000
28	0.16658888	-0.81568227	-0.91714036	1.96830000
29	0.16658888	-0.81568227	-0.91714036	1.96830000
30	0.16658888	-0.81568227	-0.91714036	1.77147000
31	0.16658888	-0.81568227	-0.91714036	1.77147000
32	0.16658888	-0.81568227	-0.91714036	1.59432300
33	0.16658888	-0.81568227	-0.91714036	1.59432300
34	0.16658888	-0.81568227	-0.91714036	1.43489070
35	0.16658888	-0.81568227	-0.91714036	1.43489070
36	0.16658888	-0.81568227	-0.91714036	1.29140163
37	0.16658888	-0.81568227	-0.91714036	1.29140163
38	0.16658888	-0.81568227	-0.91714036	1.16226147
39	0.16658888	-0.81568227	-0.91714036	1.16226147
40	0.16658888	-0.81568227	-0.91714036	1.04603532
41	0.16658888	-0.81568227	-0.91714036	1.04603532
42	0.16658888	-0.81568227	-0.91714036	0.94143179
43	0.16658888	-0.81568227	-0.91714036	0.94143179
44	0.16658888	-0.81568227	-0.91714036	0.84728861
45	0.16658888	-0.81568227	-0.91714036	0.84728861
46	0.16658888	-0.81568227	-0.91714036	0.76255975
47	0.16658888	-0.81568227	-0.91714036	0.76255975
48	0.16658888	-0.81568227	-0.91714036	0.68630377
49	0.16658888	-0.81568227	-0.91714036	0.68630377
50	0.16658888	-0.81568227	-0.91714036	0.61767340
51	0.16658888	-0.81568227	-0.91714036	0.61767340
52	0.16658888	-0.81568227	-0.91714036	0.55590606
53	0.16658888	-0.81568227	-0.91714036	0.55590606
54	0.16658888	-0.81568227	-0.91714036	0.50031545
55	0.16658888	-0.81568227	-0.91714036	0.50031545
56	0.16658888	-0.81568227	-0.91714036	0.45028391
57	0.16658888	-0.81568227	-0.91714036	0.45028391
58	0.16658888	-0.81568227	-0.91714036	0.40525552
59	0.16658888	-0.81568227	-0.91714036	0.40525552
60	0.16658888	-0.81568227	-0.91714036	0.36472996
61	-0.01110934	-0.68221978	-0.98714530	0.36472996
62	-0.01110934	-0.68221978	-0.98714530	0.32825697
63	-0.01110934	-0.68221978	-0.98714530	0.32825697
64	-0.01110934	-0.68221978	-0.98714530	0.29543127
65	-0.01110934	-0.68221978	-0.98714530	0.29543127
