Generacion	x1	x2	Fitness_Padre	Sigma_Usado
0	-0.95455513	0.52792644	0.84531002	3.00000000
1	-0.95455513	0.52792644	0.84531002	3.00000000
2	-0.95455513	0.52792644	0.84531002	3.00000000
3	-0.95455513	0.52792644	0.84531002	3.00000000
4	-0.95455513	0.52792644	0.84531002	3.00000000
5	-0.95455513	0.52792644	0.84531002	3.00000000
6	-0.95455513	0.52792644	0.84531002	3.00000000
7	-0.95455513	0.52792644	0.84531002	3.00000000
8	-0.95455513	0.52792644	0.84531002	3.00000000
9	-0.95455513	0.52792644	0.84531002	3.00000000
10	-0.95455513	0.52792644	0.84531002	3.00000000
11	-0.95455513	0.52792644	0.84531002	3.00000000
12	-0.95455513	0.52792644	0.84531002	3.00000000
13	-0.95455513	0.52792644	0.84531002	3.00000000
14	0.79826203	-0.84611431	0.29347451	3.00000000
15	0.79826203	-0.84611431	0.29347451	3.00000000
16	0.79826203	-0.84611431	0.29347451	3.00000000
17	0.79826203	-0.84611431	0.29347451	3.00000000
18	0.79826203	-0.84611431	0.29347451	3.00000000
19	0.79826203	-0.84611431	0.29347451	3.00000000
20	0.79826203	-0.84611431	0.29347451	3.00000000
21	0.79826203	-0.84611431	0.29347451	3.00000000
22	0.79826203	-0.84611431	0.29347451	2.70000000
23	0.79826203	-0.84611431	0.29347451	2.70000000
24	0.79826203	-0.84611431	0.29347451	2.43000000
25	0.79826203	-0.84611431	0.29347451	2.43000000
26	0.79826203	-0.84611431	0.29347451	2.18700000
27	0.79826203	-0.84611431	0.29347451	2.18700000
28	0.79826203	-0.84611431	0.29347451	1.96830000
29	0.79826203	-0.84611431	0.29347451	1.96830000
30	0.79826203	-0.84611431	0.29347451	1.77147000
31	0.79826203	-0.84611431	0.29347451	1.77147000
32	0.79826203	-0.84611431	0.29347451	1.59432300
33	0.79826203	-0.84611431	0.29347451	1.59432300
34	0.79826203	-0.84611431	0.29347451	1.43489070
35	0.79826203	-0.84611431	0.29347451	1.43489070
36	0.79826203	-0.84611431	0.29347451	1.29140163
37	0.79826203	-0.84611431	0.29347451	1.29140163
