Generacion	x1	x2	Fitness_Padre	Sigma_Usado
0	-0.95596388	0.74339187	0.45647760	3.00000000
1	-0.95596388	0.74339187	0.45647760	3.00000000
2	-0.95596388	0.74339187	0.45647760	3.00000000
3	-0.95596388	0.74339187	0.45647760	3.00000000
4	-0.95596388	0.74339187	0.45647760	3.00000000
5	-0.95596388	0.74339187	0.45647760	3.00000000
6	-0.95596388	0.74339187	0.45647760	3.00000000
7	-0.95596388	0.74339187	0.45647760	3.00000000
8	-0.95596388	0.74339187	0.45647760	3.00000000
9	-0.95596388	0.74339187	0.45647760	3.00000000
10	-0.95596388	0.74339187	0.45647760	3.00000000
11	-0.95596388	0.74339187	0.45647760	3.00000000
12	-0.95596388	0.74339187	0.45647760	3.00000000
13	-0.95596388	0.74339187	0.45647760	3.00000000
14	-0.95596388	0.74339187	0.45647760	3.00000000
15	-0.95596388	0.74339187	0.45647760	3.00000000
16	-0.95596388	0.74339187	0.45647760	3.00000000
17	-0.95596388	0.74339187	0.45647760	3.00000000
18	-0.95596388	0.74339187	0.45647760	3.00000000
19	-0.95596388	0.74339187	0.45647760	3.00000000
20	-0.95596388	0.74339187	0.45647760	3.00000000
21	-0.95596388	0.74339187	0.45647760	3.00000000
22	-0.95596388	0.74339187	0.45647760	2.70000000
23	-0.95596388	0.74339187	0.45647760	2.70000000
24	-0.95596388	0.74339187	0.45647760	2.43000000
25	-0.95596388	0.74339187	0.45647760	2.43000000
26	-0.30169659	0.34694915	-0.18127226	2.18700000
27	-0.30169659	0.34694915	-0.18127226	2.18700000
28	-0.30169659	0.34694915	-0.18127226	1.96830000
29	-0.30169659	0.34694915	-0.18127226	1.96830000
30	-0.30169659	0.34694915	-0.18127226	1.77147000
31	-0.30169659	0.34694915	-0.18127226	1.77147000
32	-0.30169659	0.34694915	-0.18127226	1.59432300
33	-0.30169659	0.34694915	-0.18127226	1.59432300
34	-0.30169659	0.34694915	-0.18127226	1.43489070
35	-0.13632365	0.32492317	-0.34839719	1.43489070
36	-0.13632365	0.32492317	-0.34839719	1.29140163
37	-0.13632365	0.32492317	-0.34839719	1.29140163
38	-0.13632365	0.32492317	-0.34839719	1.16226147
39	-0.13632365	0.32492317	-0.34839719	1.16226147
40	-0.13632365	0.32492317	-0.34839719	1.04603532
41	-0.13632365	0.32492317	-0.34839719	1.04603532
42	0.06654979	0.88211468	-0.61420412	0.94143179
43	0.06654979	0.88211468	-0.61420412	0.94143179
