Generacion	x1	x2	Fitness_Padre	Sigma_Usado
0	-0.95281768	-0.00448091	2.15421255	3.00000000
1	-0.95281768	-0.00448091	2.15421255	3.00000000
2	-0.95281768	-0.00448091	2.15421255	3.00000000
3	-0.95281768	-0.00448091	2.15421255	3.00000000
4	0.22226652	-1.16102556	1.81075018	3.00000000
5	0.22226652	-1.16102556	1.81075018	3.00000000
6	0.22226652	-1.16102556	1.81075018	3.00000000
7	0.22226652	-1.16102556	1.81075018	3.00000000
8	0.22226652	-1.16102556	1.81075018	3.00000000
9	0.22226652	-1.16102556	1.81075018	3.00000000
10	0.22226652	-1.16102556	1.81075018	3.00000000
11	0.22226652	-1.16102556	1.81075018	3.00000000
12	0.22226652	-1.16102556	1.81075018	3.00000000
13	0.22226652	-1.16102556	1.81075018	3.00000000
14	0.22226652	-1.16102556	1.81075018	3.00000000
15	0.22226652	-1.16102556	1.81075018	3.00000000
16	1.03199430	-0.86835075	0.64278355	3.00000000
17	1.03199430	-0.86835075	0.64278355	3.00000000
18	1.03199430	-0.86835075	0.64278355	3.00000000
19	1.03199430	-0.86835075	0.64278355	3.00000000
20	1.03199430	-0.86835075	0.64278355	3.00000000
21	1.03199430	-0.86835075	0.64278355	3.00000000
22	1.03199430	-0.86835075	0.64278355	2.70000000
23	1.03199430	-0.86835075	0.64278355	2.70000000
24	1.03199430	-0.86835075	0.64278355	2.43000000
25	1.03199430	-0.86835075	0.64278355	2.43000000
26	0.24295488	0.78693061	-0.52305973	2.18700000
27	0.24295488	0.78693061	-0.52305973	2.18700000
28	0.24295488	0.78693061	-0.52305973	1.96830000
29	0.24295488	0.78693061	-0.52305973	1.96830000
30	0.24295488	0.78693061	-0.52305973	1.77147000
31	0.24295488	0.78693061	-0.52305973	1.77147000
32	0.24295488	0.78693061	-0.52305973	1.59432300
33	0.24295488	0.78693061	-0.52305973	1.59432300
34	0.24295488	0.78693061	-0.52305973	1.43489070
35	0.24295488	0.78693061	-0.52305973	1.43489070
