Generacion	x1	x2	Fitness_Padre	Sigma_Usado
0	-0.95159676	1.67544906	20.84470074	3.00000000
1	-0.95159676	1.67544906	20.84470074	3.00000000
2	-0.95159676	1.67544906	20.84470074	3.00000000
3	-0.95159676	1.67544906	20.84470074	3.00000000
4	-0.95159676	1.67544906	20.84470074	3.00000000
5	-0.95159676	1.67544906	20.84470074	3.00000000
6	-0.95159676	1.67544906	20.84470074	3.00000000
7	-0.95159676	1.67544906	20.84470074	3.00000000
8	1.28011960	-0.03225981	2.33695572	3.00000000
9	1.28011960	-0.03225981	2.33695572	3.00000000
10	1.28011960	-0.03225981	2.33695572	3.00000000
11	1.28011960	-0.03225981	2.33695572	3.00000000
12	1.28011960	-0.03225981	2.33695572	3.00000000
13	1.28011960	-0.03225981	2.33695572	3.00000000
14	1.28011960	-0.03225981	2.33695572	3.00000000
15	1.28011960	-0.03225981	2.33695572	3.00000000
16	1.28011960	-0.03225981	2.33695572	3.00000000
17	1.28011960	-0.03225981	2.33695572	3.00000000
18	1.28011960	-0.03225981	2.33695572	3.00000000
19	1.75012295	0.26153888	2.33164992	3.00000000
20	1.75012295	0.26153888	2.33164992	3.00000000
21	1.75012295	0.26153888	2.33164992	3.00000000
22	1.75012295	0.26153888	2.33164992	2.70000000
23	1.75012295	0.26153888	2.33164992	2.70000000
24	1.75012295	0.26153888	2.33164992	2.43000000
25	1.75012295	0.26153888	2.33164992	2.43000000
26	1.75012295	0.26153888	2.33164992	2.18700000
27	1.75012295	0.26153888	2.33164992	2.18700000
28	1.75012295	0.26153888	2.33164992	1.96830000
29	1.75012295	0.26153888	2.33164992	1.96830000
30	1.75012295	0.26153888	2.33164992	1.77147000
31	1.75012295	0.26153888	2.33164992	1.77147000
32	1.75012295	0.26153888	2.33164992	1.59432300
33	1.75012295	0.26153888	2.33164992	1.59432300
34	1.75012295	0.26153888	2.33164992	1.43489070
35	1.75012295	0.26153888	2.33164992	1.43489070
36	1.75012295	0.26153888	2.33164992	1.29140163
37	1.75012295	0.26153888	2.33164992	1.29140163
38	1.75012295	0.26153888	2.33164992	1.16226147
39	1.75012295	0.26153888	2.33164992	1.16226147
40	1.10929761	0.50473378	2.16386456	1.04603532
41	1.87121889	-0.69107019	0.27780022	1.04603532
42	1.87121889	-0.69107019	0.27780022	0.94143179
43	1.87121889	-0.69107019	0.27780022	0.94143179
44	1.87121889	-0.69107019	0.27780022	0.84728861
45	1.87121889	-0.69107019	0.27780022	0.84728861
46	1.87121889	-0.69107019	0.27780022	0.76255975
47	1.87121889	-0.69107019	0.27780022	0.76255975
48	1.87121889	-0.69107019	0.27780022	0.68630377
49	1.87121889	-0.69107019	0.27780022	0.68630377
50	1.87121889	-0.69107019	0.27780022	0.61767340
51	1.87121889	-0.69107019	0.27780022	0.61767340
52	1.87121889	-0.69107019	0.27780022	0.55590606
53	1.87121889	-0.69107019	0.27780022	0.55590606
54	1.87121889	-0.69107019	0.27780022	0.50031545
55	1.87121889	-0.69107019	0.27780022	0.50031545
56	1.87121889	-0.69107019	0.27780022	0.45028391
57	1.87121889	-0.69107019	0.27780022	0.45028391
58	1.87121889	-0.69107019	0.27780022	0.40525552
59	1.87121889	-0.69107019	0.27780022	0.40525552
60	1.70237952	-0.71622994	-0.15038906	0.36472996
61	1.70237952	-0.71622994	-0.15038906	0.36472996
62	1.70237952	-0.71622994	-0.15038906	0.32825697
63	1.70237952	-0.71622994	-0.15038906	0.32825697
64	1.70237952	-0.71622994	-0.15038906	0.29543127
65	1.70237952	-0.71622994	-0.15038906	0.29543127
66	1.71470674	-0.77445397	-0.20890525	0.26588814
67	1.71470674	-0.77445397	-0.20890525	0.26588814
68	1.71470674	-0.77445397	-0.20890525	0.23929933
69	1.71470674	-0.77445397	-0.20890525	0.23929933
70	1.71470674	-0.77445397	-0.20890525	0.21536940
71	1.71470674	-0.77445397	-0.20890525	0.21536940
72	1.71470674	-0.77445397	-0.20890525	0.19383246
73	1.71470674	-0.77445397	-0.20890525	0.19383246
74	1.71470674	-0.77445397	-0.20890525	0.17444921
75	1.71470674	-0.77445397	-0.20890525	0.17444921
76	1.71470674	-0.77445397	-0.20890525	0.15700429
77	1.71470674	-0.77445397	-0.20890525	0.15700429
78	1.71470674	-0.77445397	-0.20890525	0.14130386
79	1.71470674	-0.77445397	-0.20890525	0.14130386
80	1.71470674	-0.77445397	-0.20890525	0.12717347
81	1.71470674	-0.77445397	-0.20890525	0.12717347
82	1.71470674	-0.77445397	-0.20890525	0.11445613
83	1.71470674	-0.77445397	-0.20890525	0.11445613
84	1.70049424	-0.78516363	-0.21408568	0.10301051
85	1.70049424	-0.78516363	-0.21408568	0.10301051
86	1.70049424	-0.78516363	-0.21408568	0.09270946
87	1.70049424	-0.78516363	-0.21408568	0.09270946
88	1.70049424	-0.78516363	-0.21408568	0.08343852
89	1.70049424	-0.78516363	-0.21408568	0.08343852
90	1.70049424	-0.78516363	-0.21408568	0.07509467
